image_id,question,answer,data_type,candidates,hallucination_candidates,token_2_visual_evidence,image_source
000000060347,What is the person doing while sitting on the bench?,"The person is sitting on the bench and looking at the trees, possibly enjoying the natural surroundings or taking a break from their activities.",vqa_nonhalu_llava,"['person', 'sitting', 'bench', 'looking', 'trees', 'natural', 'surroundings']","['enjoying', 'taking', 'break', 'activities']","[{'word': 'person', 'class': 'object', 'bb_info': [[102.34, 234.95, 364.67999999999995, 595.3199999999999]]}, {'word': 'sitting', 'class': 'action', 'bb_info': [[102.34, 234.95, 364.67999999999995, 595.3199999999999]]}, {'word': 'bench', 'class': 'object', 'bb_info': [[135.41, 290.18, 454.35, 552.64]]}, {'word': 'looking', 'class': 'action', 'bb_info': [[102.34, 234.95, 364.67999999999995, 595.3199999999999]]}, {'word': 'trees', 'class': 'object', 'bb_info': []}, {'word': 'natural', 'class': 'attribute', 'bb_info': []}, {'word': 'surroundings', 'class': 'object', 'bb_info': []}]",coco-validation
000000272416,Describe the shape and appearance of the toilet in this image.,"The toilet has a rounded, oval-shaped bowl with a light blue interior and a beige seat and lid. It’s mounted on a brown tiled floor, and the tank is white, partially visible on the left. The overall design appears vintage or utilitarian, with a simple, functional look.",instruct_nonhalu_qwen,"['toilet', 'rounded', 'oval-shaped', 'bowl', 'light', 'blue', 'interior', 'beige', 'seat', 'lid', 'mounted', 'brown', 'tiled', 'floor', 'tank', 'partially', 'visible', 'left', 'design']","['white', 'vintage', 'utilitarian', 'simple', 'functional']","[{'word': 'toilet', 'class': 'object', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'rounded', 'class': 'attribute', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'oval-shaped', 'class': 'attribute', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'bowl', 'class': 'object', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'light', 'class': 'attribute', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'blue', 'class': 'attribute', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'interior', 'class': 'attribute', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'beige', 'class': 'attribute', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'seat', 'class': 'object', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'lid', 'class': 'object', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'mounted', 'class': 'action', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'brown', 'class': 'attribute', 'bb_info': []}, {'word': 'tiled', 'class': 'attribute', 'bb_info': []}, {'word': 'floor', 'class': 'object', 'bb_info': []}, {'word': 'tank', 'class': 'object', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'partially', 'class': 'decision_token', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'visible', 'class': 'decision_token', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'left', 'class': 'attribute', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}, {'word': 'design', 'class': 'attribute', 'bb_info': [[282.16, 152.97, 594.59, 347.57]]}]",coco-validation
000000135670,Describe the position of the bicycle within the environment shown.,"The bicycle is parked upright and secured against the interior wall of the train car, leaning against a yellow horizontal bar near a window, with its front wheel angled slightly inward.",instruct_nonhalu_qwen,"['bicycle', 'parked', 'upright', 'against', 'interior', 'wall', 'train', 'car', 'leaning', 'yellow', 'horizontal', 'bar', 'near', 'window', 'front', 'wheel', 'angled', 'slightly', 'inward']",['secured'],"[{'word': 'bicycle', 'class': 'object', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'parked', 'class': 'action', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'upright', 'class': 'attribute', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'against', 'class': 'relation', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'interior', 'class': 'attribute', 'bb_info': []}, {'word': 'wall', 'class': 'object', 'bb_info': []}, {'word': 'train', 'class': 'object', 'bb_info': []}, {'word': 'car', 'class': 'object', 'bb_info': []}, {'word': 'leaning', 'class': 'action', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'yellow', 'class': 'attribute', 'bb_info': []}, {'word': 'horizontal', 'class': 'attribute', 'bb_info': []}, {'word': 'bar', 'class': 'object', 'bb_info': []}, {'word': 'near', 'class': 'relation', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'window', 'class': 'object', 'bb_info': []}, {'word': 'front', 'class': 'attribute', 'bb_info': []}, {'word': 'wheel', 'class': 'object', 'bb_info': []}, {'word': 'angled', 'class': 'attribute', 'bb_info': []}, {'word': 'slightly', 'class': 'attribute', 'bb_info': []}, {'word': 'inward', 'class': 'attribute', 'bb_info': []}]",coco-validation
000000365655,What scene is captured in this image?,"The image captures a scene of a red and white bus parked on a road, with a mountain in the background. The bus is prominently featured in the foreground, while the mountain serves as a picturesque backdrop. The scene likely takes place in a mountainous region, where the bus is either picking up or dropping off passengers, or simply parked for a break during a journey.",caption_nonhalu_llava,"['red', 'white', 'bus', 'parked', 'road', 'mountain', 'background', 'foreground', 'backdrop', 'mountainous', 'region']","['picturesque', 'picking', 'dropping', 'passengers', 'break', 'journey']","[{'word': 'red', 'class': 'attribute', 'bb_info': [[45.2, 161.09, 456.81, 317.85]]}, {'word': 'white', 'class': 'attribute', 'bb_info': [[45.2, 161.09, 456.81, 317.85]]}, {'word': 'bus', 'class': 'object', 'bb_info': [[45.2, 161.09, 456.81, 317.85]]}, {'word': 'parked', 'class': 'actions', 'bb_info': [[45.2, 161.09, 456.81, 317.85]]}, {'word': 'road', 'class': 'object', 'bb_info': []}, {'word': 'mountain', 'class': 'object', 'bb_info': []}, {'word': 'background', 'class': 'relations', 'bb_info': []}, {'word': 'foreground', 'class': 'relations', 'bb_info': [[45.2, 161.09, 456.81, 317.85]]}, {'word': 'backdrop', 'class': 'object', 'bb_info': []}, {'word': 'mountainous', 'class': 'attribute', 'bb_info': []}, {'word': 'region', 'class': 'object', 'bb_info': []}]",coco-validation
000000237517,Count the number of chairs present in the image.,There are two chairs present in the image.,instruct_nonhalu_llava,"['chairs', 'present']",['two'],"[{'word': 'chairs', 'class': 'object', 'bb_info': [[151.4, 118.37, 286.28, 316.56], [35.78, 175.19, 236.73, 303.19]]}, {'word': 'present', 'class': 'decision_token', 'bb_info': [[151.4, 118.37, 286.28, 316.56], [35.78, 175.19, 236.73, 303.19]]}]",coco-validation
000000157928,What do you observe in the background and foreground?,"In the background, you see parked cars and a forest of tall trees with snow on the ground. In the foreground, two people are preparing ski gear—skis, poles, and a backpack—on a snowy surface near a cooler.",caption_nonhalu_qwen,"['parked', 'cars', 'forest', 'tall', 'trees', 'snow', 'ground', 'two', 'people', 'preparing', 'ski', 'gear', 'skis', 'poles', 'backpack', 'snowy', 'surface', 'cooler']",[],"[{'word': 'parked', 'class': 'attribute', 'bb_info': [[0.0, 99.48, 108.92, 247.37], [180.08, 103.09, 301.6, 201.72]]}, {'word': 'cars', 'class': 'object', 'bb_info': [[0.0, 99.48, 108.92, 247.37], [180.08, 103.09, 301.6, 201.72]]}, {'word': 'forest', 'class': 'object', 'bb_info': []}, {'word': 'tall', 'class': 'attribute', 'bb_info': []}, {'word': 'trees', 'class': 'object', 'bb_info': []}, {'word': 'snow', 'class': 'object', 'bb_info': []}, {'word': 'ground', 'class': 'object', 'bb_info': []}, {'word': 'two', 'class': 'count', 'bb_info': [[94.05, 24.86, 216.22, 366.49], [260.34, 130.75, 434.67999999999995, 302.87]]}, {'word': 'people', 'class': 'object', 'bb_info': [[94.05, 24.86, 216.22, 366.49], [260.34, 130.75, 434.67999999999995, 302.87]]}, {'word': 'preparing', 'class': 'action', 'bb_info': [[94.05, 24.86, 216.22, 366.49], [260.34, 130.75, 434.67999999999995, 302.87]]}, {'word': 'ski', 'class': 'attribute', 'bb_info': [[265.36, 259.79, 518.08, 415.15000000000003], [259.32, 259.32, 480.0, 455.06]]}, {'word': 'gear', 'class': 'object', 'bb_info': []}, {'word': 'skis', 'class': 'object', 'bb_info': [[265.36, 259.79, 518.08, 415.15000000000003], [259.32, 259.32, 480.0, 455.06]]}, {'word': 'poles', 'class': 'object', 'bb_info': []}, {'word': 'backpack', 'class': 'object', 'bb_info': [[297.77, 84.26, 443.15, 169.41000000000003], [113.51, 18.7, 200.79000000000002, 128.4]]}, {'word': 'snowy', 'class': 'attribute', 'bb_info': []}, {'word': 'surface', 'class': 'object', 'bb_info': []}, {'word': 'cooler', 'class': 'object', 'bb_info': []}]",coco-validation
000000153217,"Describe the interaction between the cat and the motorcycle, and explain how the cat is helping to repair the motorcycle.","There is no interaction between the cat and the motorcycle, and the cat is not helping to repair it. The cat is simply standing near the motorcycle, likely out of curiosity or as a bystander. Motorcycles require mechanical tools and expertise to repair, and cats cannot assist with that. The image appears to be a casual scene, not a repair scenario.",instruct_halu_qwen,"['no', 'interaction', 'cat', 'motorcycle', 'helping', 'repair', 'standing', 'near', 'assist', 'casual', 'scene']","['curiosity', 'bystander', 'mechanical', 'tools', 'expertise']","[{'word': 'no', 'class': 'decision_token', 'bb_info': [[17.2, 315.05, 160.22, 489.25], [40.45, 2.06, 375.0, 418.91]]}, {'word': 'interaction', 'class': 'relation', 'bb_info': [[17.2, 315.05, 160.22, 489.25], [40.45, 2.06, 375.0, 418.91]]}, {'word': 'cat', 'class': 'object', 'bb_info': [[17.2, 315.05, 160.22, 489.25]]}, {'word': 'motorcycle', 'class': 'object', 'bb_info': [[40.45, 2.06, 375.0, 418.91]]}, {'word': 'helping', 'class': 'action', 'bb_info': [[17.2, 315.05, 160.22, 489.25]]}, {'word': 'repair', 'class': 'action', 'bb_info': [[40.45, 2.06, 375.0, 418.91]]}, {'word': 'standing', 'class': 'action', 'bb_info': [[17.2, 315.05, 160.22, 489.25]]}, {'word': 'near', 'class': 'relation', 'bb_info': [[17.2, 315.05, 160.22, 489.25], [40.45, 2.06, 375.0, 418.91]]}, {'word': 'assist', 'class': 'action', 'bb_info': [[17.2, 315.05, 160.22, 489.25]]}, {'word': 'casual', 'class': 'attribute', 'bb_info': []}, {'word': 'scene', 'class': 'object', 'bb_info': []}]",coco-validation
000000007816,What is the person riding?,motorcycle,vqa_nonhalu_qwen,['motorcycle'],[],"[{'word': 'motorcycle', 'class': 'object', 'bb_info': [[240.72, 152.98, 467.12, 360.27]]}]",coco-validation
000000363875,What is the person riding?,The person is riding a motorcycle.,vqa_nonhalu_llava,"['person', 'riding', 'motorcycle']",[],"[{'word': 'person', 'class': 'object', 'bb_info': [[107.35, 15.48, 408.77, 422.88]]}, {'word': 'riding', 'class': 'action', 'bb_info': [[107.35, 15.48, 408.77, 422.88], [2.86, 153.4, 558.0, 630.18]]}, {'word': 'motorcycle', 'class': 'object', 'bb_info': [[2.86, 153.4, 558.0, 630.18]]}]",coco-validation
000000530624,What’s in this picture?,"The image features a brown dog lying on a bed, covered by a blanket. The dog appears to be resting comfortably under the blanket, which provides a cozy and warm environment. The bed is covered with a floral comforter, adding a touch of color and pattern to the scene.",caption_nonhalu_llava,"['brown', 'dog', 'lying', 'bed', 'covered', 'blanket', 'resting', 'under', 'floral', 'comforter', 'color', 'pattern', 'scene']","['comfortably', 'cozy', 'warm']","[{'word': 'brown', 'class': 'attribute', 'bb_info': [[96.57, 107.19, 615.1199999999999, 301.28]]}, {'word': 'dog', 'class': 'object', 'bb_info': [[96.57, 107.19, 615.1199999999999, 301.28]]}, {'word': 'lying', 'class': 'action', 'bb_info': [[96.57, 107.19, 615.1199999999999, 301.28]]}, {'word': 'bed', 'class': 'object', 'bb_info': [[0.0, 0.54, 640.0, 467.77000000000004]]}, {'word': 'covered', 'class': 'action', 'bb_info': [[96.57, 107.19, 615.1199999999999, 301.28], [0.0, 0.54, 640.0, 467.77000000000004]]}, {'word': 'blanket', 'class': 'object', 'bb_info': []}, {'word': 'resting', 'class': 'action', 'bb_info': [[96.57, 107.19, 615.1199999999999, 301.28]]}, {'word': 'under', 'class': 'relation', 'bb_info': [[96.57, 107.19, 615.1199999999999, 301.28]]}, {'word': 'floral', 'class': 'attribute', 'bb_info': [[0.0, 0.54, 640.0, 467.77000000000004]]}, {'word': 'comforter', 'class': 'object', 'bb_info': []}, {'word': 'color', 'class': 'attribute', 'bb_info': []}, {'word': 'pattern', 'class': 'attribute', 'bb_info': []}, {'word': 'scene', 'class': 'object', 'bb_info': []}]",coco-validation
