question,answer,hallucination_candidates,candidates,image_id,question_id,image_path,data_type
Is that table white and round?,"No, the table is round but brown.",[],"['no', 'table', 'round', 'brown']",2401500,4856,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2401500.jpg,gqa
Is that table white and round?,"Yes, the table is white and round.","['yes', 'white']","['table', 'round']",2401500,4856,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2401500.jpg,gqa
Is the clock round and brown?,"No, the clock is round but white.",['brown'],"['no', 'clock', 'round', 'white']",2406540,7908,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2406540.jpg,gqa
Is the clock round and brown?,"Yes, the clock is round and brown.","['yes', 'brown']","['clock', 'round']",2406540,7908,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2406540.jpg,gqa
Are there potatoes to the right of the green parsley?,"Yes, there is a potato to the right of the parsley.",[],"['yes', 'potato', 'right', 'parsley', 'a']",2369828,7943,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2369828.jpg,gqa
Are there potatoes to the right of the green parsley?,"Yes, there are potatoes to the right of the green parsley.",['potatoes'],"['yes', 'right', 'parsley']",2369828,7943,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2369828.jpg,gqa
Are there bikes or helmets?,yes,[],['yes'],2367350,14636,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2367350.jpg,gqa
Are there bikes or helmets?,"Yes, there is a person wearing a helmet while riding a snowboard, and there is also a bicycle in the scene.",['bicycle'],"['yes', 'person', 'wearing', 'helmet', 'riding', 'snowboard', 'scene']",2367350,14636,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2367350.jpg,gqa
What color is the broccoli?,Green.,[],['green'],2335559,18331,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2335559.jpg,vga
What color is the broccoli?,The broccoli is green.,[],"['broccoli', 'green']",2335559,18331,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2335559.jpg,vga
What color is the bottom of the wall?,Yellow.,[],['yellow'],2350910,20524,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2350910.jpg,vga
What color is the bottom of the wall?,The bottom of the wall is yellow.,[],"['bottom', 'wall', 'yellow']",2350910,20524,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2350910.jpg,vga
How was the broccoli prepared?,Steamed.,['steamed'],[],2374337,21835,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2374337.jpg,vga
How was the broccoli prepared?,The broccoli was prepared by being steamed.,['steamed'],"['broccoli', 'prepared']",2374337,21835,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2374337.jpg,vga
What surrounds the dumpster?,Bushes.,[],['bushes'],2399163,22583,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2399163.jpg,vga
What surrounds the dumpster?,"The dumpster is surrounded by a tall hedge, a fence, and a tree.","['fence', 'tree']","['dumpster', 'surrounded', 'tall', 'hedge']",2399163,22583,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2399163.jpg,vga
What are the green things on the right side of the photo?,Trees.,[],['trees'],2372833,24506,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2372833.jpg,vga
What are the green things on the right side of the photo?,The green things on the right side of the photo are trees.,[],"['green', 'things', 'right', 'side', 'photo', 'trees']",2372833,24506,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2372833.jpg,vga
How many trees are seen on the left?,3 trees.,['3'],['trees'],2388464,24600,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2388464.jpg,vga
How many trees are seen on the left?,There are two trees on the left side of the image.,['two'],"['trees', 'left', 'side', 'image']",2388464,24600,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2388464.jpg,vga
What animal is flying above the boat?,A bird.,[],['bird'],2393289,26985,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2393289.jpg,vga
What animal is flying above the boat?,A seagull is flying above the boat.,[],"['seagull', 'flying', 'above', 'boat']",2393289,26985,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2393289.jpg,vga
Who is holding a baseball bat?,The batter.,[],['batter'],2372458,27231,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2372458.jpg,vga
Who is holding a baseball bat?,A man is holding a baseball bat in the image.,[],"['man', 'holding', 'baseball', 'bat', 'image']",2372458,27231,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2372458.jpg,vga
Do you see bowls to the right of the napkins that are to the right of the woman?,"No, there is a faucet to the right of the napkins.",[],"['no', 'faucet', 'right', 'napkins']",2321853,209,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2321853.jpg,gqa
Do you see bowls to the right of the napkins that are to the right of the woman?,"Yes, there are bowls to the right of the napkins that are to the right of the woman.","['yes', 'bowls', 'right']","['napkins', 'woman']",2321853,209,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2321853.jpg,gqa
Is there any train or bus that is not green?,"No, there is a bus but it is green.",[],"['no', 'bus', 'green']",2324738,488,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2324738.jpg,gqa
Is there any train or bus that is not green?,"No, there is no train or bus that is not green in the image.",[],"['no', 'train', 'bus', 'green', 'image']",2324738,488,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2324738.jpg,gqa
Is the pizza large and round?,"No, the pizza is round but small.",[],"['no', 'pizza', 'round', 'small']",2377893,1821,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2377893.jpg,gqa
Is the pizza large and round?,"Yes, the pizza is large and round.","['yes', 'large']","['pizza', 'round']",2377893,1821,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2377893.jpg,gqa
Are the buildings behind the orange bus?,"Yes, the buildings are behind the bus.",[],"['yes', 'buildings', 'behind', 'bus']",2389729,4718,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2389729.jpg,gqa
Are the buildings behind the orange bus?,"Yes, the buildings are behind the orange bus, and the bus is driving down the street.",[],"['yes', 'buildings', 'behind', 'orange', 'bus', 'driving', 'street']",2389729,4718,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2389729.jpg,gqa
Is the cart on the right of the image?,"No, the cart is on the left of the image.",[],"['no', 'cart', 'left']",2416444,6953,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2416444.jpg,gqa
Is the cart on the right of the image?,"Yes, the cart is on the right side of the image.","['yes', 'right']",['cart'],2416444,6953,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2416444.jpg,gqa
Are there both boats and ropes in the image?,"Yes, there are both a boat and a rope.",[],"['yes', 'boat', 'rope']",2345200,8258,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2345200.jpg,gqa
Are there both boats and ropes in the image?,"Yes, there are both boats and ropes in the image. The boats are tied to the shore with ropes, and they are floating in the water.",[],"['yes', 'boats', 'ropes', 'tied', 'shore', 'floating', 'water']",2345200,8258,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2345200.jpg,gqa
Is there a bottle or a plate in the picture?,no,[],['no'],2344872,10735,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2344872.jpg,gqa
Is there a bottle or a plate in the picture?,"No, there is no bottle or plate in the picture. The image features a person holding a slice of pizza on a piece of paper.",['slice'],"['no', 'bottle', 'plate', 'person', 'holding', 'pizza', 'piece', 'paper']",2344872,10735,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2344872.jpg,gqa
Is the moss on a pine tree?,yes,['yes'],[],2351250,15327,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2351250.jpg,gqa
Is the moss on a pine tree?,"Yes, the moss is growing on a pine tree in the forest.","['pine', 'forest']","['yes', 'moss', 'growing', 'tree']",2351250,15327,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2351250.jpg,gqa
Where is the orange light?,On top of vehicle.,[],"['on', 'top', 'vehicle']",2316075,19132,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2316075.jpg,vga
Where is the orange light?,The orange light is on the back of the truck.,['back'],"['orange', 'light', 'on', 'truck']",2316075,19132,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2316075.jpg,vga
What color are the flowers?,Purple.,[],['purple'],2333033,22497,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2333033.jpg,vga
What color are the flowers?,The flowers are purple.,[],"['flowers', 'purple']",2333033,22497,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2333033.jpg,vga
Why is the refrigerator door open?,So the boy can look in it.,[],"['boy', 'look', 'in']",2403460,22547,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2403460.jpg,vga
Why is the refrigerator door open?,"The refrigerator door is open because a man is looking inside it. He is likely checking the contents of the refrigerator, possibly searching for something to eat or drink.","['checking', 'contents', 'searching', 'eat', 'drink']","['refrigerator', 'door', 'open', 'man', 'looking', 'inside']",2403460,22547,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2403460.jpg,vga
What food is white?,The food is noodles.,[],"['food', 'noodles']",2361104,1195,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2361104.jpg,gqa
What food is white?,The food in the image is white.,['white'],"['food', 'image']",2361104,1195,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2361104.jpg,gqa
Is the old person holding an umbrella?,"No, the woman is holding the oar.",[],"['no', 'woman', 'holding', 'oar']",2408613,2327,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2408613.jpg,gqa
Is the old person holding an umbrella?,"No, the old person is not holding an umbrella. They are holding a paddle while riding in a boat.",['umbrella'],"['no', 'old', 'person', 'not', 'holding', 'paddle', 'riding', 'boat']",2408613,2327,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2408613.jpg,gqa
What is on the table?,The notepad is on the table.,[],"['notepad', 'on', 'table']",2341392,2329,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2341392.jpg,gqa
What is on the table?,There is a notebook and a pen on the table.,['notebook'],"['pen', 'on', 'table']",2341392,2329,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2341392.jpg,gqa
Are there any bandages or umbrellas in the picture?,"No, there are no umbrellas or bandages.","['umbrellas', 'bandages']",['no'],2389966,7335,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2389966.jpg,gqa
Are there any bandages or umbrellas in the picture?,"No, there are no bandages or umbrellas in the picture. The image features a woman and two children sitting at a table in a restaurant, eating hot dogs.","['bandages', 'umbrellas']","['no', 'picture', 'image', 'features', 'woman', 'two', 'children', 'sitting', 'table', 'restaurant', 'eating', 'hot', 'dogs']",2389966,7335,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2389966.jpg,gqa
Are there ovens above the floor?,"Yes, there is an oven above the floor.",['one'],"['yes', 'oven', 'above', 'floor']",2398819,9656,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2398819.jpg,gqa
Are there ovens above the floor?,"Yes, there are two ovens above the floor in the image.",[],"['yes', 'two', 'ovens', 'above', 'floor', 'image']",2398819,9656,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2398819.jpg,gqa
Are there cones to the right of the truck?,no,['no'],[],2400297,10585,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2400297.jpg,gqa
Are there cones to the right of the truck?,"Yes, there are cones to the right of the truck.",[],"['yes', 'cones', 'right', 'truck']",2400297,10585,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2400297.jpg,gqa
Is the large muffin in the top of the photo?,yes,['yes'],[],2379839,13595,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2379839.jpg,gqa
Is the large muffin in the top of the photo?,"Yes, the large muffin is in the top of the photo.","['yes', 'large', 'muffin', 'top']",['photo'],2379839,13595,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2379839.jpg,gqa
What color is the water?,Green.,[],['green'],2410041,19379,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2410041.jpg,vga
What color is the water?,The water is green.,[],"['water', 'green']",2410041,19379,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2410041.jpg,vga
What is in the background of the picture?,A mountain.,[],['mountain'],2408596,19679,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2408596.jpg,vga
What is in the background of the picture?,"In the background of the picture, there is a house with a chimney.",['background'],"['house', 'chimney']",2408596,19679,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2408596.jpg,vga
Who is sitting on the red couch?,A man and woman.,[],"['man', 'woman']",2388023,19988,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2388023.jpg,vga
Who is sitting on the red couch?,A man and a woman are sitting on the red couch.,[],"['man', 'woman', 'sitting', 'on', 'red', 'couch']",2388023,19988,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2388023.jpg,vga
When is this picture being taken?,Daytime.,[],['daytime'],2387072,23476,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2387072.jpg,vga
When is this picture being taken?,This picture is being taken during the day.,[],['day'],2387072,23476,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2387072.jpg,vga
What color is the other moped?,Black.,[],['black'],2354264,25205,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2354264.jpg,vga
What color is the other moped?,The other moped is red.,[],"['moped', 'red']",2354264,25205,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2354264.jpg,vga
